image,caption
2219805467_370ee1b7aa.jpg,كلب يركض على الشاطئ وفي فمه كرة صفراء.
2219805677_7b7cc188c7.jpg,كلب يركض بحماس على الشاطئ محاولاً الإمساك بكرة تنس طائرة.
2219959872_988e6d498e.jpg,أشخاص يقفون أمام آثار حجرية قديمة في يوم مشمس.
2220175999_081aa9cce8.jpg,كلبان يخوضان الماء في يوم غائم.
2220185725_45d4fa68d9.jpg,رجل يقف على رصيف خشبي يراقب كلبين في الماء، أحدهما يخرج مبللاً والآخر يقف في المياه الضحلة.
2220612655_030413b787.jpg,كلب بني وأبيض يركض في حقل من العشب الجاف.
2221818690_9003756d33.jpg,يظهر شاب بوجه مطلي باللون الأبيض وقبعة ملونة وواقيات أذن وهو ينفخ في صفارة، بينما يقف شاب آخر في الخلفية أمام لافتة بيضاء.
2222186636_85e03e0b75.jpg,في حانة ذات إضاءة خافتة، ينظر رجل يرتدي قميصًا أحمر إلى الكاميرا بينما يقف رجل آخر بشعر طويل وسترة مرقعة عند المنضدة.
2222498879_9e82a100ab.jpg,يظهر كلب أسود وبني يركض في مرج أخضر.
2222559267_6fd31e3941.jpg,رجل وطفلة يسيران على الرصيف بجانب لافتة للشرطة تطلب شهودًا على حادث اعتداء.
2223382277_9efa58ec45.jpg,طفلان يرتديان الخوذات يلعبان هوكي الجليد على الجليد.
222369445_5b6af347dd.jpg,راكب أمواج يسير على ممر صخري متجهًا إلى البحر والأمواج.
2224450291_4c133fabe8.jpg,رجل يحمل كاميرا أمام وجهه، يظهر جزء من وجهه وابتسامته، في محيط خارجي فوضوي مليء بالشباك وأدوات صيد.
2224995194_518859d97d.jpg,يظهر في الصورة شخصان ينزلان بالحبال من جرف صخري نحو مدخل كهف مظلم.
2225231022_1632d0a5aa.jpg,تُظهر الصورة ثلاثة شبان يبتسمون للكاميرا في الشارع.
2225241766_f1e7132e3e.jpg,يظهر رجلان في بيئة خارجية فوضوية، أحدهما جالس والآخر مستلقٍ يتحدث بالهاتف.
2225864432_48a24f49a4.jpg,تظهر امرأتان تقفان في الخارج، إحداهما تدخن والأخرى تحمل حقيبة تسوق.
2226440063_c085b30558.jpg,كلب أبيض وأسود يسير في مشهد ثلجي تتساقط فيه الثلوج.
2226534154_cbcab7ba32.jpg,أشخاص يتجمعون في حانة ذات إضاءة خافتة.
2226587791_66e29dd01d.jpg,رضيع يطفو في المسبح مدعومًا بأيدي شخص بالغ، وفمه مفتوح بدهشة.
222759342_98294380fc.jpg,طفلة تجلس وسط كومة كبيرة من البطيخ.
2228022180_9597b2a458.jpg,تظهر الصورة مجموعة من الأطفال الصغار يرتدون الزي المدرسي يجلسون على درجات مبنى.
2228167286_7089ab236a.jpg,طفل مبتسم يجلس في مشاية أطفال.
222878446_32c6fc4bc9.jpg,يجلس رجلان على مقعد خشبي في الهواء الطلق، يضعان قمعين برتقاليين على رأسيهما.
2229177914_3308fe7d20.jpg,كلب يقفز فوق حاجز مشتعل بالنيران أمام جمهور.
2229179070_dc8ea8582e.jpg,كلب يقفز عبر طوق خلال فعالية لتدريب الكلاب.
2229509318_be3fef006b.jpg,تظهر الصورة فتاة تقدم مكافأة لكلب يقف على قدميه الخلفيتين.
2230067846_74046b89d3.jpg,شابان يقومان بتمارين الإطالة في الهواء الطلق.
2231847779_1148d1c919.jpg,طفل رضيع سعيد وملطخ بالطعام يضع أصبعيه في أنفه.
2232518012_8cb0bbc43b.jpg,كلاب سلوقي تنطلق من بوابات البداية في سباق ليلي.
223299137_b0e81ac145.jpg,قارب يحمل ثلاثة أشخاص يبحر على نهر مضاء بغروب شمس ذهبي.
223299142_521aedf9e7.jpg,مشهد خلاب لمتسلق يصعد قمة ثلجية عند الفجر، مع بحر من الغيوم والجبال في الأسفل.
2233426944_0959835ced.jpg,خمسة كلاب تجري وتلعب بحيوية في فناء عشبي.
2234702530_a265a4df22.jpg,شاب يرتدي سترة وحقيبة ظهر حمراء يقف أمام جدار من الطوب البني ونافذة مغلقة.
2234910971_80e0325918.jpg,شخصان يسيران في الصحراء البيضاء الشاسعة.
2236016316_f476cbbf06.jpg,تُظهر الصورة طفلين يركضان في صالة رياضية، مع تأثير ضبابية الحركة الذي يبرز سرعتهما.
2238019823_79318d1f11.jpg,راكب أمواج يتزلج على موجة أمام جسر جولدن جيت المغطى بالضباب.
2238166082_140f8b01b8.jpg,فتاة مبتسمة تتزحلق على زلاجة حمراء في الثلج.
2238759450_6475641bdb.jpg,تُظهر الصورة شخصًا من الخلف يجلس في قارب مطاطي على الماء، وبجانبه مجداف.
