image,caption
1389264266_8170bc1c54.jpg,صورة لامرأتين يقفان في الخارج، يبدو أنهنّ يتحادثن.
1389323170_d1c81d6b51.jpg,امرأة جالسة على كرسي أخضر مع حقيبة كبيرة خلفها، تحمل كوبًا أحمر وتتحدث مع شخص آخر.
1389651420_8d95d8f6ed.jpg,ولد يضحك وهو ينظر الى كاميرا التصوير، وفتاة تركب عربة سباق في الخلف.
1394368714_3bc7c19969.jpg,رجل يلتقط كيس بلاستيك بجانب كلب.
1394396709_65040d97ab.jpg,كلب يجري في الماء وهو يحمل في فمه لعبة.
1394599090_fe0ba238f0.jpg,صورة لطفل يغتسل مع شخص بالغ في المسبح.
1394620454_bf708cc501.jpg,رجل يرتدي ملابس رياضية، يقف على قمة جبلية، مع وجود جبال عالية في الخلفية تحت سماء غائمة.
1394927474_0afdd82fc4.jpg,الصورة لشاب أمام باب خشبي كبير مزخرف في مبنى قديم.
1396064003_3fd949c9dd.jpg,رجل يمارس رياضة التزحلق على الماء.
1396703063_e8c3687afe.jpg,رجل يرتدي قميص أبيض و قبعة ذي حافة عريضة، ويرتدي سلسلة ذهبية، ويقف في سوق مزدحم، وينظر إلى شيء ما في المسافة.
1397295388_8a5b6b525d.jpg,الصورة تصور مشهدًا في مطار، حيث ينتظر المسافرون وصول أمتعتهم على سيور متحركة.
1397887419_e798697b93.jpg,كلبان يركضان في الحديقة.
1397923690_d3bf1f799e.jpg,رجل يمشي في طريق منحدر على الجليد باستخدام معدات التزلج.
1398606571_f543f7698a.jpg,طفلة في حوض سباحة مطاطي في البحر.
1398613231_18de248606.jpg,رجل وطفلة يجلسان على طوق في الماء.
1398873613_7e3174dd6c.jpg,الصورة تظهر رجلين، أحدهما يرتدي نظارة شمسية وقميص بني اللون، يقوم بإجراء عمل ما على حبل أو سلسلة متصلة بمركب، بينما الرجل الآخر يظهر من الخلف مرتديا قميص أبيض اللون.
1400424834_1c76e700c4.jpg,الفتاة تقف على جسر للمشاة أمام مبنى.
1402640441_81978e32a9.jpg,صبي يركل كرة القدم في الهواء على الشاطئ.
1402641725_5e027ecaa7.jpg,الأطفال يلعبون في كومة من الرمل.
1402843760_d30f1dbf0f.jpg,كلب من فصيلة البيشون فريزيل يركض في حقل.
1402859872_0fc8cf8108.jpg,طفل يصافح دمية صفراء كبيرة.
1403414927_5f80281505.jpg,كلابان يمشيان على طريق في الغابة.
140377584_12bdbdf2f8.jpg,رجل يتسلق الجبل في صورة.
1404832008_68e432665b.jpg,رجل يمارس رياضة التزحلق على الماء باستخدام حبل المطاط.
1405221276_21634dcd58.jpg,كلبان يلعبان في الماء.
140526326_da07305c1c.jpg,رجل يتسلق الجبال في الهواء الطلق، مرتديا حزام أمان، ويربط حبال التسلق في منطقة بها العديد من الأشجار والجبال.
140526327_3cb984de09.jpg,رجل يرتدي خوذة ويرتفع على حافة صخرية، ويربط الحبال بركبته وذراعه، ويرتفع فوق منظر طبيعي خلاب يطل على خليج أو بحيرة مع أفق المدينة في الخلفية.
1406010299_5755339f08.jpg,ولد صغير يرتدي زي قراصنة.
1408958345_68eea9a4e4.jpg,صورة لطفلة على الشاطئ.
1410193619_13fff6c875.jpg,صورة لامرأة في بيت، جالسة على ظهر أريكة حمراء، ومرتدية ملابس سوداء، ولها غطاء أزرق يغطيها.
141140165_9002a04f19.jpg,صورة لطفلين يلعبان الكرة، أحدهما يلمس أنف الآخر.
