image,caption
1464120327_d90279ca3a.jpg,الصورة تصور طفلًا صغيرًا ينظر إلى واجهة عرض مليئة باختيارات متعددة من الحلويات.
1465666502_de289b3b9c.jpg,تظهر الصورة طيورًا صغيرة اللون الأسود وهي تسبح داخل الماء مما يخلق وهجًا من الضوء فوق سطح الماء.
146577645_91b570c0d0.jpg,الصورة تصور شخصين وهم يعملان على دواسة مراكبهم الرياضية بمشيتهما، لدفعها عبر تيارات ماء النهر الموحش.
146577646_9e64b8c2dc.jpg,تظهر الصورة شخصين يتحديان تيارات النهر المتدفقة بينما هما على متن زلاجات مائية، ويتسابقان مع بعضهما البعض.
1466307485_5e6743332e.jpg,الصورة تصور رجلاً بمحاولة ازالة الركام الناتج عن سيارة من الأرض عقب الحادث.
1466307489_cb8a74de09.jpg,في الصورة، يتم تصوير أربعة أفراد وهم يسعون لسحب سيارة جيپ عسكرية من فوق تلة صخرية مستخدمين أدوات البناء.
1466479163_439db855af.jpg,الصورة تعرض كلباً يركض بشكل سريع على أرض عشبية خضراء، ويمكن التعرف على أنه من سلالة الصيد.
1467533293_a2656cc000.jpg,في الصورة، يمكن رؤية امرأتين تتفاعلان على أدوات المتعة في حديقة لعب،snapshoting إحدى النساء—التي تلبس لباس أبيض—بينما تعين مساعدة للثانية ذات الفستان البرتقالي.
1468103286_96a6e07029.jpg,الصورة تصور لاعب بيسبول ينتمي إلى فريق نيويورك يانكيز وهو يحتفل بعexcitation بعد تسديده الناجحة، مع رفع ذراعه ووجهه مباغت نحو المشجعين.
1468389504_c724bdcad0.jpg,في الصورة، يمكن رؤية امرأتين تستمتعان باللعب باستخدام معدات الحديقة الترفيهية للأطفال؛ إحداهما رابضة على سلَّم الصعود والأخرى تعلق يداً بيدها.
1468429623_f001988691.jpg,في المشهد، نرى رجلاً يركض برفقة كلبه الأسود على أرض زراعية خضراء مورقة.
1468962616_5803b4397f.jpg,الصورة تقدم مشهد طفل يرتدي منظارين مائيين وهو يسبح في حوض للسباحة.
1469000260_5d473c8283.jpg,الصورة تصور كلب ذو فرو برتقالي نائم على الأرض ضمن بيئة غنية بالنباتات والشجيرات.
1469358746_2a879abaf3.jpg,الصورة توثق رجلاً يرتدي قبعة ونظارات شمسية وهو يحتمي بكلب أسود له، وقد أمسكهما معاً على هضبة مرتفعة وسط منظر خلاب للجبال من ورائهما.
1470061031_4cb59c12a8.jpg,تصور الصورة عدة جراء صغيرة وهي تتناول الطعام بشكل جماعي عَلى الأرض.
1470132731_fa416b7504.jpg,تُظهر الصورة كلبين سوداوين وهو يركضان في الماء ويسببان امتدادات صغيرة نحو الشاطئ.
1470536919_1f3fd6c65a.jpg,الصورة تظهر كلبين يلعبان بشكل طبيعي في بيئة مفتوحة تحيط بها الأشجار والأزهار.
1472053993_bed67a3ba7.jpg,في الصورة، يمكن رؤية شخص يقوم بمغامرة قفز الثلجي وسط منظر خلاب يتضمن هضبات جبلية خضراء تتداخل مع سماء زرقاء مليئة بسحب ناصعة البياض.
1472230829_803818a383.jpg,في الصورة، نشاهد أشخاصَ يستقلون زوارق رافد عبر مسار نهر مليء بالطاقة والاضطراب.
1472249944_d887c3aeda.jpg,الصورة تصور مجموعة من الأفراد وهم يمارسون القفز أو اللعب على صخرة ضخمة محاطة بمناظر طبيعية للغابة الخضراء الذهبية المليئة بأوراق الشجر المتبعثرة.
1472653060_7427d2865a.jpg,"Within the image, we spot an individual sporting a hat and shirt carrying a substantial serving tray of food, apparently working in a restaurant or communal kitchen. Several other individuals are also observed within the background engaged in a dining context."
1472882567_33dc14c8b6.jpg,الصورة تعرض أربعة أفراد مرتدين تجهيزات التزلج بينما يقومون بالتجول في الثلوج عبر مسندات تسلق، وذلك تحت سماء زرقاء خلابة.
1473080948_bae2925dc8.jpg,الصورة تُظهر شخصاً يسوق قاربًا قصيرًا عبر تيار نَهري، وهو يُدار باستخدام صاحب القوس.
1473250020_dc829a090f.jpg,في الصورة، رجل يرتدي شورتًا مخططًا يسير على حجارة نهر صغير، ويستخدم عصا صغيرة، ويبدو أنه يحافظ على توازنه أو يبحث عن شيء في الماء.
1473618073_7db56a5237.jpg,صورة لطفل يستمتع باللعب على الكرسيّ الهوائي الأخضر في حديقة خارجية.
1474474514_b3eb492722.jpg,الصورة تعرض طفلاً صغيراً واقفاً وسط مجموعة من الأطعمة الضخمة في حديقة أو أرضية ألعاب مخصصة للأطفال.
1475046848_831245fc64.jpg,في الصورة، تظهر امرأة وهي تتجول على الشاطئ بالقرب من الماء، مرتدية ملابس ممارسة الرياضة وحاملة حذائها في يدها.
1476002408_4256b7b2fa.jpg,"Within the image, we observe a person clad in a traditional kilt attire and a backpack, as they walk on a dual-purpose bridge, with another man near them carrying a small cart."
1476241331_2f43b67aed.jpg,في الصورة، يمكننا مشاهدة طفلين يستمتعان باللعب حول عمود خرساني داخل حديقة خضراء.
1478268555_7e301fc510.jpg,توضح الصورة شخصاً يعتمد على أدوات التسلق لكسر طريق من خلال صخر، ويُثبت سلامته عبر استخدام حبل الأمان.
1478294229_7e1c822fea.jpg,اللقطة تعرض رجليْن، بالإضافة إلى رجلين آخرين يرتديان حذاء دراجة وشبشب، وذلك في خلفية تضم دراجتيْن.
1478606153_a7163bf899.jpg,في الصورة، يمكن رؤية جرو يركض في غابات الخريف، حيث تغطي فرشاة من الحشائش وأوراق ذات ألوان خضراء ووردية كل مكان حولها.
1479028910_3dab3448c8.jpg,الصورة تعرض رجلاً يتزلج على الأقدام ويعرض حركات قوية في الهواء أثناء اجتيازه بهدوء مدخل منزل صغير.
1479124077_17dcc0d5d7.jpg,الأطفال يقفزون بفرح على العشب الأخضر في حديقة خارجية.
1479513774_70c94cf9d3.jpg,الصورة تصور امرأة ترتدي معطفا أخضر محمّلا بحقيبة يد، وهي غادرة من باب مبنى أحمر.
1479679558_d0a01bc62b.jpg,تصور الصورة نهرًا يمر بين غابة مليئة بالأشجار العارية، حيث تنتشر الحجارة على ضفتهما.
1479857177_9d4a6f38fd.jpg,في الصورة، يمكن رؤية غواصين مسلحين بالمعدات الشاملة للغطس، بما في ذلك أجهزة التنفس تحت الماء、الدروع الغاطسةِ ونظّارات الغطس.
1480712062_32a61ad4b7.jpg,تُعرض الصورة غواصين اثنين يرتديان تجهيزات الغوص وهم ينعمون بممارسة الغوص تحت الأمواج.
1481062342_d9e34366c4.jpg,تصور الصورة طفلاً يجري بسرعة على أرضية خشبية داخل منزل، مع إضاءة طبيعية تأتي من الباب الخلفي.
1482960952_95f2d419cb.jpg,الصورة تبرز ثلاث نساء يرتدين معاطفَ طويلة أثناء قيامهن بنزهة خارجية؛ هن يحملن أغراضهن ويمرن في هدوء.
148512773_bae6901fd6.jpg,"الصورة تعرض منظر طبيعي يضم نهرًا ضيّقاً يتعرَّج عبر أحجار كبيرة، وفي البُعد، صف ثخين من الأشجار وغيوم ذهبية تغطي السماء.

(ملاحظة: أعدت صياغة الجملة مع الحفاظ على الهيكل والمصطلحات والمحتوى الأصلي)"
1488937076_5baa73fc2a.jpg,الصورة تبرز ثلاث كلاب مرحة تركض على العشب الأخضر، بوجود الخيزران الخلفي والأيامرات في الخلف بمبنى حمراء.
1489286545_8df476fa26.jpg,في هذه الصورة، نجد رجلاً يرتاح على مقعد من الخشب برفقة كلبِه، ويستمتعان بمناظر غروب الشمس الجميل من هضبة مرتفعة.
1490213660_9ea45550cf.jpg,الصورة تعرض كلباً أثناء سيره في مجرى مائي ضحل، ويميز ظلال الشجيرات المجاورة له.
1490670858_e122df2560.jpg,صورة طفل يستمتع باللعب على السلم الحمراء المنزلق في حديقة الأطفال.
1491192153_7c395991e5.jpg,في الصورة، يشارك رجل مع طفل صغير المتعة في جهاز الملعب، حيث يستمتع الطفل بلعبة الـswing.
1499495021_d295ce577c.jpg,بالصورة، نستدل على امرأة ورجل يسيران على الشاطئ، وهما يحملان عصيين طويلين فوق رأسهما أمام الاندفاع العميق للأمواج.
1499554025_a8ffe0e479.jpg,تظهر الصورة مجموعة من الأفراد يتعاملون مع أغنام بيضاء ضمن ما يبدو أنه مزرعة أو إطار معرض للحيوانات، وهم يؤدون عمليات مثل التمشيط أو التفتيش للأغنام وهم يرتدون الملابس البيضاء.
1499581619_a5f65a882c.jpg,في الصورة، تصور لنا امرأة ورجل بلون رياضي وهم يستبدلان القبلة على شاطئ بحري خلاب.
1500853305_0150615ce9.jpg,الصورة تصور طفلين يسيران على جسر خشب متواضع في قلب الغابة.
1501297480_8db52c15b0.jpg,يظهر الطفل في الصورة واقفًا أمام باب زجاجي يبدو أنه يحاول فتحه أو النظر من خلاله.
1501811302_5e723fc529.jpg,في الصورة، يمكننا مشاهدة كائنات من نوع الكلاب تتبع الأبقار في مزرعة خارجية تضم سورًا من الأسلاك الحديدية.
1501985304_8c50093004.jpg,في هذا المشهد، رجل يساعد طفلاً صغيراً على الاستمتاع بوقت السباحة في حوض السباحة.
150387174_24825cf871.jpg,الصورة توضح راكباً للدراجة النارية يسوق دراجته عبر ميدان صخري يحمل شعاراً رقمياً على الآلة.
1505686764_9e3bcd854a.jpg,الصورة تصور رجلاً يرتدي بيكيني وهو يتجول على الصخور في جدول وسط غابة.
1507563902_6ec8d5d822.jpg,في الصورة، شخص يقوم بالقفز على الحبل المطاطي، ومظهره يشير إلى أنه يؤدي حيلة جوية أو تدريب طيران.
1508269285_6c5723f67d.jpg,الصورة تصور كلباً من سلالة البرتغال وهو يتنزه في الماء مع عصا خضراء موجودة بين فكيها.
1509786421_f03158adfc.jpg,في الصورة، رجل وطفل يتنحنحان توجها لجهة اليسار، ويتوجه الطفل بإشارته إيماءته إلى اليسار.
1510078253_96e9ec50e7.jpg,الصورة تعرض مجموعة فئران صغيرة ذات ألوان غامقة، أفواهها مفتوحة وعيناهما مغلقان، وهي تنظر إلى الأسفل.
1510669311_75330b4781.jpg,الصورة توضح مجموعة من النساء يضحكن ويقمن بأخذ صورة جماعية سيلفي في إطار اجتماعي.
1511807116_41c3645e8c.jpg,تصور الصورة كلبات شابة تستمتع وتضحك على الأرض الم COVERED بأوراق الخريف.
1514957266_a19827c538.jpg,تظهر الصورة كلباً يتحرك بإيقاع نشط ضمن حديقة مورقة مُرضية بالضوء الشمسي.
1515025681_999199cb79.jpg,في الصورة، شخص يرتدي النظّارات الشمسية يقوم بقص الشعر لطفل صغير.
1515883224_14e36a53c7.jpg,في الصورة، امرأة ترتدي تي شيرت بني، وهي تقف وسط مجموعة من الأشخاص.
1516714577_7d1c35a8d8.jpg,في الصورة، نلاحظ طفلة ترتدي فستاناً أحمر وحدائها بنفس اللون، مستمتعة بعبثها بسلسلة من الألوان الزاهية خارج منزل من الطوب.
1517340899_ee1c74a8f6.jpg,تُظهر الصورة طفلة صغيرة تراقص بإستمتاع تحت سماء زرقاء، وهي ملبسة ملابس نشاطات رياضية محاطة بالأعشاب الطويلة.
1517721825_10176d0683.jpg,تصور الصورةكلابتاً تستمتع باللعب في مياه ساحلية متاخمة للشاطئ، في مشهد محاط بصخور بحرية في الخلفية.
1517807181_ca6588f2a0.jpg,في الصورة، تشاهدين امرأتين تستمتعان باللعب بالطائرة الورقية على هضبة أخضر محاطة بجبال وغروب سماوي خلاب.
152029243_b3582c36fa.jpg,الصورة تصوّر سائق دراجة يجرّ دراجته وهو يعبر مجرى نهر ضيّق بين الحجارة والشجيرات.
1521623639_4bda3407cc.jpg,تظهر الصورة فرداً جالساً تحت جسر معلق، مع وجود أغراض مبعثرة حولَه ووجود شجرة خلف الجسر.
1522787272_5a31497ef2.jpg,الصورة تصور كلبًا بلون ذهبي وهو يندفع بسرعة عبر المرج الأخضر.
1523800748_a59e980eee.jpg,"الصورة تظهر طفلين ماضيين جريانًا على الشاطئ الصخري مقابل المياه، بإطلالة خلفية للغابة تحت سماء سماوية وممطرة.

(ملاحظة: قمت بتغيير الكلمات ولكن حافظت على نفس العبارات والمعنى)"
1523984678_edd68464da.jpg,في الصورة، يمكن مشاهدة كلب بوسطن وهو يستمتع باللعب بكرة الطائرة على خلفية حديقة غنّاء ومكسوة بالعشب الأخضر.
1525153022_06c48dbe52.jpg,تصور الصورة كلب دورتموند الرفيع وهو يركض بسرعة في الماء، مع رذاذ من القطرات المحيطة به.
1526181215_c1a94325ae.jpg,تصوير الكلب يظهر قفزه فوق الماء، مع رشقات من قطرات الماء النقية المحيطة به.
1526325728_74eb4153d8.jpg,الصورة تصور كلبًا ضخمًا وهو يركض على الشاطئ، ولدى الكلب نباتات بحرية متدلية حول رقبته.
